BRAVO eVTOL logging file
SIM TIME (s), Time Per Flight (s), Distance Per Flight (mi), Time Per Charge (s), Total Faults, Total Passenger Miles
60 (s), 0 (s), 0 (mi), 0 (s), 0, 0
120 (s), 0 (s), 0 (mi), 0 (s), 0, 0
180 (s), 0 (s), 0 (mi), 0 (s), 0, 0
240 (s), 0 (s), 0 (mi), 0 (s), 0, 0
300 (s), 0 (s), 0 (mi), 0 (s), 0, 0
360 (s), 0 (s), 0 (mi), 0 (s), 0, 0
420 (s), 0 (s), 0 (mi), 0 (s), 0, 0
480 (s), 0 (s), 0 (mi), 0 (s), 0, 0
540 (s), 0 (s), 0 (mi), 0 (s), 0, 0
600 (s), 0 (s), 0 (mi), 0 (s), 0, 0
660 (s), 0 (s), 0 (mi), 0 (s), 0, 0
720 (s), 0 (s), 0 (mi), 0 (s), 0, 0
780 (s), 0 (s), 0 (mi), 0 (s), 0, 0
840 (s), 0 (s), 0 (mi), 0 (s), 0, 0
900 (s), 0 (s), 0 (mi), 0 (s), 0, 0
960 (s), 0 (s), 0 (mi), 0 (s), 0, 0
1020 (s), 0 (s), 0 (mi), 0 (s), 0, 0
1080 (s), 0 (s), 0 (mi), 0 (s), 0, 0
1140 (s), 0 (s), 0 (mi), 0 (s), 0, 0
1200 (s), 0 (s), 0 (mi), 0 (s), 0, 0
1260 (s), 0 (s), 0 (mi), 0 (s), 0, 0
1320 (s), 0 (s), 0 (mi), 0 (s), 0, 0
1380 (s), 0 (s), 0 (mi), 0 (s), 0, 0
1440 (s), 0 (s), 0 (mi), 0 (s), 0, 0
1500 (s), 0 (s), 0 (mi), 0 (s), 0, 0
1560 (s), 0 (s), 0 (mi), 0 (s), 0, 0
1620 (s), 0 (s), 0 (mi), 0 (s), 0, 0
1680 (s), 0 (s), 0 (mi), 0 (s), 0, 0
1740 (s), 0 (s), 0 (mi), 0 (s), 0, 0
1800 (s), 0 (s), 0 (mi), 0 (s), 0, 0
1860 (s), 0 (s), 0 (mi), 0 (s), 0, 0
1920 (s), 0 (s), 0 (mi), 0 (s), 0, 0
1980 (s), 0 (s), 0 (mi), 0 (s), 0, 0
2040 (s), 0 (s), 0 (mi), 0 (s), 0, 0
2100 (s), 0 (s), 0 (mi), 0 (s), 0, 0
2160 (s), 0 (s), 0 (mi), 0 (s), 0, 0
2220 (s), 0 (s), 0 (mi), 0 (s), 0, 0
2280 (s), 0 (s), 0 (mi), 0 (s), 0, 0
2340 (s), 0 (s), 0 (mi), 0 (s), 0, 0
2400 (s), 0 (s), 0 (mi), 0 (s), 0, 0
2460 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
2520 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
2580 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
2640 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
2700 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
2760 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
2820 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
2880 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
2940 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
3000 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
3060 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
3120 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
3180 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
3240 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
3300 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
3360 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
3420 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
3480 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
3540 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
3600 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
3660 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
3720 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
3780 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
3840 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
3900 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
3960 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
4020 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
4080 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
4140 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
4200 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
4260 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
4320 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
4380 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
4440 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
4500 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
4560 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
4620 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
4680 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
4740 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
4800 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
4860 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
4920 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
4980 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
5040 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
5100 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
5160 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
5220 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
5280 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
5340 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
5400 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
5460 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
5520 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
5580 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
5640 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
5700 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
5760 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
5820 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
5880 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
5940 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
6000 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
6060 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
6120 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
6180 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
6240 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
6300 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
6360 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
6420 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
6480 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
6540 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
6600 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
6660 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
6720 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
6780 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
6840 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
6900 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
6960 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
7020 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
7080 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
7140 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
7200 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
7260 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
7320 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
7380 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
7440 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
7500 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
7560 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
7620 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
7680 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
7740 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
7800 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
7860 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
7920 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
7980 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
8040 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
8100 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
8160 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
8220 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
8280 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
8340 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
8400 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
8460 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
8520 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
8580 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
8640 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
8700 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
8760 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
8820 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
8880 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
8940 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
9000 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
9060 (s), 2460 (s), 68.3333 (mi), 0 (s), 0, 1025
9120 (s), 2460 (s), 68.3333 (mi), 720 (s), 0, 1025
9180 (s), 2460 (s), 68.3333 (mi), 720 (s), 0, 1025
9240 (s), 2460 (s), 68.3333 (mi), 720 (s), 0, 1025
9300 (s), 2460 (s), 68.3333 (mi), 720 (s), 0, 1025
9360 (s), 2460 (s), 68.3333 (mi), 720 (s), 0, 1025
9420 (s), 2460 (s), 68.3333 (mi), 720 (s), 0, 1025
9480 (s), 2460 (s), 68.3333 (mi), 720 (s), 0, 1025
9540 (s), 2460 (s), 68.3333 (mi), 720 (s), 0, 1025
9600 (s), 2460 (s), 68.3333 (mi), 720 (s), 0, 1025
9660 (s), 2460 (s), 68.3333 (mi), 720 (s), 0, 1025
9720 (s), 2460 (s), 68.3333 (mi), 720 (s), 0, 1025
9780 (s), 2460 (s), 68.3333 (mi), 720 (s), 0, 1025
9840 (s), 2460 (s), 68.3333 (mi), 720 (s), 0, 1025
9900 (s), 2460 (s), 68.3333 (mi), 720 (s), 0, 1025
9960 (s), 2460 (s), 68.3333 (mi), 720 (s), 0, 1025
10020 (s), 2460 (s), 68.3333 (mi), 720 (s), 0, 1025
10080 (s), 2460 (s), 68.3333 (mi), 720 (s), 0, 1025
10140 (s), 2460 (s), 68.3333 (mi), 720 (s), 0, 1025
10200 (s), 2460 (s), 68.3333 (mi), 720 (s), 0, 1025
10260 (s), 2460 (s), 68.3333 (mi), 720 (s), 0, 1025
10320 (s), 2460 (s), 68.3333 (mi), 720 (s), 0, 1025
10380 (s), 2460 (s), 68.3333 (mi), 720 (s), 0, 1025
10440 (s), 2460 (s), 68.3333 (mi), 720 (s), 0, 1025
10500 (s), 2460 (s), 68.3333 (mi), 720 (s), 0, 1025
10560 (s), 2460 (s), 68.3333 (mi), 720 (s), 0, 1025
10620 (s), 2460 (s), 68.3333 (mi), 720 (s), 0, 1025
10680 (s), 2460 (s), 68.3333 (mi), 720 (s), 0, 1025
10740 (s), 2460 (s), 68.3333 (mi), 720 (s), 0, 1025
10800 (s), 2460 (s), 68.3333 (mi), 720 (s), 0, 1025
