CHARLIE eVTOL logging file
SIM TIME (s), Time Per Flight (s), Distance Per Flight (mi), Time Per Charge (s), Total Faults, Total Passenger Miles
60 (s), 0 (s), 0 (mi), 0 (s), 0, 0
120 (s), 0 (s), 0 (mi), 0 (s), 0, 0
180 (s), 0 (s), 0 (mi), 0 (s), 0, 0
240 (s), 0 (s), 0 (mi), 0 (s), 0, 0
300 (s), 0 (s), 0 (mi), 0 (s), 0, 0
360 (s), 0 (s), 0 (mi), 0 (s), 0, 0
420 (s), 0 (s), 0 (mi), 0 (s), 0, 0
480 (s), 0 (s), 0 (mi), 0 (s), 0, 0
540 (s), 0 (s), 0 (mi), 0 (s), 0, 0
600 (s), 0 (s), 0 (mi), 0 (s), 0, 0
660 (s), 0 (s), 0 (mi), 0 (s), 0, 0
720 (s), 0 (s), 0 (mi), 0 (s), 0, 0
780 (s), 0 (s), 0 (mi), 0 (s), 0, 0
840 (s), 0 (s), 0 (mi), 0 (s), 0, 0
900 (s), 0 (s), 0 (mi), 0 (s), 0, 0
960 (s), 0 (s), 0 (mi), 0 (s), 0, 0
1020 (s), 0 (s), 0 (mi), 0 (s), 0, 0
1080 (s), 0 (s), 0 (mi), 0 (s), 0, 0
1140 (s), 0 (s), 0 (mi), 0 (s), 0, 0
1200 (s), 0 (s), 0 (mi), 0 (s), 0, 0
1260 (s), 0 (s), 0 (mi), 0 (s), 0, 0
1320 (s), 0 (s), 0 (mi), 0 (s), 0, 0
1380 (s), 0 (s), 0 (mi), 0 (s), 0, 0
1440 (s), 0 (s), 0 (mi), 0 (s), 0, 0
1500 (s), 0 (s), 0 (mi), 0 (s), 0, 0
1560 (s), 0 (s), 0 (mi), 0 (s), 0, 0
1620 (s), 0 (s), 0 (mi), 0 (s), 0, 0
1680 (s), 0 (s), 0 (mi), 0 (s), 0, 0
1740 (s), 0 (s), 0 (mi), 0 (s), 0, 0
1800 (s), 0 (s), 0 (mi), 0 (s), 0, 0
1860 (s), 0 (s), 0 (mi), 0 (s), 0, 0
1920 (s), 0 (s), 0 (mi), 0 (s), 0, 0
1980 (s), 0 (s), 0 (mi), 0 (s), 0, 0
2040 (s), 0 (s), 0 (mi), 0 (s), 0, 0
2100 (s), 0 (s), 0 (mi), 0 (s), 0, 0
2160 (s), 0 (s), 0 (mi), 0 (s), 0, 0
2220 (s), 0 (s), 0 (mi), 0 (s), 0, 0
2280 (s), 2280 (s), 101.333 (mi), 0 (s), 0, 2128
2340 (s), 2280 (s), 101.333 (mi), 0 (s), 0, 2128
2400 (s), 2280 (s), 101.333 (mi), 0 (s), 0, 2128
2460 (s), 2280 (s), 101.333 (mi), 0 (s), 0, 2128
2520 (s), 2280 (s), 101.333 (mi), 0 (s), 0, 2128
2580 (s), 2280 (s), 101.333 (mi), 0 (s), 0, 2128
2640 (s), 2280 (s), 101.333 (mi), 0 (s), 0, 2128
2700 (s), 2280 (s), 101.333 (mi), 0 (s), 0, 2128
2760 (s), 2280 (s), 101.333 (mi), 0 (s), 0, 2128
2820 (s), 2280 (s), 101.333 (mi), 0 (s), 0, 2128
2880 (s), 2280 (s), 101.333 (mi), 0 (s), 0, 2128
2940 (s), 2280 (s), 101.333 (mi), 0 (s), 0, 2128
3000 (s), 2280 (s), 101.333 (mi), 0 (s), 0, 2128
3060 (s), 2280 (s), 101.333 (mi), 0 (s), 0, 2128
3120 (s), 2280 (s), 101.333 (mi), 0 (s), 0, 2128
3180 (s), 2280 (s), 101.333 (mi), 0 (s), 0, 2128
3240 (s), 2280 (s), 101.333 (mi), 0 (s), 0, 2128
3300 (s), 2280 (s), 101.333 (mi), 0 (s), 0, 2128
3360 (s), 2280 (s), 101.333 (mi), 0 (s), 0, 2128
3420 (s), 2280 (s), 101.333 (mi), 0 (s), 0, 2128
3480 (s), 2280 (s), 101.333 (mi), 0 (s), 0, 2128
3540 (s), 2280 (s), 101.333 (mi), 0 (s), 0, 2128
3600 (s), 2280 (s), 101.333 (mi), 0 (s), 0, 2128
3660 (s), 2280 (s), 101.333 (mi), 0 (s), 0, 2128
3720 (s), 2280 (s), 101.333 (mi), 0 (s), 0, 2128
3780 (s), 2280 (s), 101.333 (mi), 0 (s), 0, 2128
3840 (s), 2280 (s), 101.333 (mi), 0 (s), 0, 2128
3900 (s), 2280 (s), 101.333 (mi), 0 (s), 0, 2128
3960 (s), 2280 (s), 101.333 (mi), 0 (s), 0, 2128
4020 (s), 2280 (s), 101.333 (mi), 0 (s), 0, 2128
4080 (s), 2280 (s), 101.333 (mi), 0 (s), 0, 2128
4140 (s), 2280 (s), 101.333 (mi), 0 (s), 0, 2128
4200 (s), 2280 (s), 101.333 (mi), 0 (s), 0, 2128
4260 (s), 2280 (s), 101.333 (mi), 0 (s), 0, 2128
4320 (s), 2280 (s), 101.333 (mi), 0 (s), 0, 2128
4380 (s), 2280 (s), 101.333 (mi), 0 (s), 0, 2128
4440 (s), 2280 (s), 101.333 (mi), 0 (s), 0, 2128
4500 (s), 2280 (s), 101.333 (mi), 0 (s), 0, 2128
4560 (s), 2280 (s), 101.333 (mi), 0 (s), 0, 2128
4620 (s), 2280 (s), 101.333 (mi), 0 (s), 0, 2128
4680 (s), 2280 (s), 101.333 (mi), 0 (s), 0, 2128
4740 (s), 2280 (s), 101.333 (mi), 0 (s), 0, 2128
4800 (s), 2280 (s), 101.333 (mi), 0 (s), 0, 2128
4860 (s), 2280 (s), 101.333 (mi), 0 (s), 0, 2128
4920 (s), 2280 (s), 101.333 (mi), 0 (s), 0, 2128
4980 (s), 2280 (s), 101.333 (mi), 0 (s), 0, 2128
5040 (s), 2280 (s), 101.333 (mi), 0 (s), 0, 2128
5100 (s), 2280 (s), 101.333 (mi), 0 (s), 0, 2128
5160 (s), 2280 (s), 101.333 (mi), 0 (s), 0, 2128
5220 (s), 2280 (s), 101.333 (mi), 0 (s), 0, 2128
5280 (s), 2280 (s), 101.333 (mi), 0 (s), 0, 2128
5340 (s), 2280 (s), 101.333 (mi), 2940 (s), 0, 2128
5400 (s), 2280 (s), 101.333 (mi), 2940 (s), 0, 2128
5460 (s), 2280 (s), 101.333 (mi), 2940 (s), 0, 2128
5520 (s), 2280 (s), 101.333 (mi), 2940 (s), 0, 2128
5580 (s), 2280 (s), 101.333 (mi), 2940 (s), 0, 2128
5640 (s), 2280 (s), 101.333 (mi), 2940 (s), 0, 2128
5700 (s), 2280 (s), 101.333 (mi), 2940 (s), 0, 2128
5760 (s), 2280 (s), 101.333 (mi), 2940 (s), 0, 2128
5820 (s), 2280 (s), 101.333 (mi), 2940 (s), 0, 2128
5880 (s), 2280 (s), 101.333 (mi), 2940 (s), 0, 2128
5940 (s), 2280 (s), 101.333 (mi), 2940 (s), 0, 2128
6000 (s), 2280 (s), 101.333 (mi), 2940 (s), 0, 2128
6060 (s), 2280 (s), 101.333 (mi), 2940 (s), 0, 2128
6120 (s), 2280 (s), 101.333 (mi), 2940 (s), 0, 2128
6180 (s), 2280 (s), 101.333 (mi), 2940 (s), 0, 2128
6240 (s), 2280 (s), 101.333 (mi), 2940 (s), 0, 2128
6300 (s), 2280 (s), 101.333 (mi), 2940 (s), 0, 2128
6360 (s), 2280 (s), 101.333 (mi), 2940 (s), 0, 2128
6420 (s), 2280 (s), 101.333 (mi), 2940 (s), 0, 2128
6480 (s), 2280 (s), 101.333 (mi), 2940 (s), 0, 2128
6540 (s), 2280 (s), 101.333 (mi), 2940 (s), 0, 2128
6600 (s), 2280 (s), 101.333 (mi), 2940 (s), 0, 2128
6660 (s), 2280 (s), 101.333 (mi), 2940 (s), 0, 2128
6720 (s), 2280 (s), 101.333 (mi), 2940 (s), 0, 2128
6780 (s), 2280 (s), 101.333 (mi), 2940 (s), 0, 2128
6840 (s), 2280 (s), 101.333 (mi), 2940 (s), 0, 2128
6900 (s), 2280 (s), 101.333 (mi), 2940 (s), 0, 2128
6960 (s), 2280 (s), 101.333 (mi), 2940 (s), 0, 2128
7020 (s), 2280 (s), 101.333 (mi), 2940 (s), 0, 2128
7080 (s), 2280 (s), 101.333 (mi), 2940 (s), 0, 2128
7140 (s), 2280 (s), 101.333 (mi), 2940 (s), 0, 2128
7200 (s), 2280 (s), 101.333 (mi), 2940 (s), 0, 2128
7260 (s), 2280 (s), 101.333 (mi), 2940 (s), 0, 2128
7320 (s), 2280 (s), 101.333 (mi), 2940 (s), 0, 2128
7380 (s), 2280 (s), 101.333 (mi), 2940 (s), 0, 2128
7440 (s), 2280 (s), 101.333 (mi), 2940 (s), 0, 2128
7500 (s), 2280 (s), 101.333 (mi), 2940 (s), 0, 2128
7560 (s), 2280 (s), 101.333 (mi), 2940 (s), 0, 2128
7620 (s), 2280 (s), 101.333 (mi), 2940 (s), 0, 3040
7680 (s), 2280 (s), 101.333 (mi), 2940 (s), 0, 3040
7740 (s), 2280 (s), 101.333 (mi), 2940 (s), 0, 3040
7800 (s), 2280 (s), 101.333 (mi), 2940 (s), 0, 3040
7860 (s), 2280 (s), 101.333 (mi), 2940 (s), 0, 3040
7920 (s), 2280 (s), 101.333 (mi), 2940 (s), 0, 3040
7980 (s), 2280 (s), 101.333 (mi), 2940 (s), 0, 3040
8040 (s), 2280 (s), 101.333 (mi), 2940 (s), 0, 3040
8100 (s), 2280 (s), 101.333 (mi), 2940 (s), 0, 3040
8160 (s), 2280 (s), 101.333 (mi), 2940 (s), 0, 3040
8220 (s), 2280 (s), 101.333 (mi), 2940 (s), 0, 3040
8280 (s), 2280 (s), 101.333 (mi), 2940 (s), 0, 3040
8340 (s), 2280 (s), 101.333 (mi), 2940 (s), 0, 3040
8400 (s), 2280 (s), 101.333 (mi), 2940 (s), 0, 3040
8460 (s), 2280 (s), 101.333 (mi), 2940 (s), 0, 3040
8520 (s), 2280 (s), 101.333 (mi), 2940 (s), 0, 3040
8580 (s), 2280 (s), 101.333 (mi), 2940 (s), 0, 3040
8640 (s), 2280 (s), 101.333 (mi), 2940 (s), 0, 3040
8700 (s), 2280 (s), 101.333 (mi), 2940 (s), 0, 3040
8760 (s), 2280 (s), 101.333 (mi), 2940 (s), 0, 3040
8820 (s), 2280 (s), 101.333 (mi), 2940 (s), 0, 3040
8880 (s), 2280 (s), 101.333 (mi), 2940 (s), 0, 3040
8940 (s), 2280 (s), 101.333 (mi), 2940 (s), 0, 3040
9000 (s), 2280 (s), 101.333 (mi), 2940 (s), 0, 3040
9060 (s), 2280 (s), 101.333 (mi), 2940 (s), 0, 3040
9120 (s), 2280 (s), 101.333 (mi), 2940 (s), 0, 3040
9180 (s), 2280 (s), 101.333 (mi), 2940 (s), 0, 3040
9240 (s), 2280 (s), 101.333 (mi), 2940 (s), 0, 3040
9300 (s), 2280 (s), 101.333 (mi), 2940 (s), 0, 3040
9360 (s), 2280 (s), 101.333 (mi), 2940 (s), 0, 3040
9420 (s), 2280 (s), 101.333 (mi), 2940 (s), 0, 3040
9480 (s), 2280 (s), 101.333 (mi), 2940 (s), 0, 3040
9540 (s), 2280 (s), 101.333 (mi), 2940 (s), 0, 3040
9600 (s), 2280 (s), 101.333 (mi), 2940 (s), 0, 3040
9660 (s), 2280 (s), 101.333 (mi), 2940 (s), 0, 3040
9720 (s), 2280 (s), 101.333 (mi), 2940 (s), 0, 3040
9780 (s), 2280 (s), 101.333 (mi), 2940 (s), 0, 3040
9840 (s), 2280 (s), 101.333 (mi), 2940 (s), 0, 3040
9900 (s), 2280 (s), 101.333 (mi), 2940 (s), 0, 3040
9960 (s), 2280 (s), 101.333 (mi), 2940 (s), 0, 3040
10020 (s), 2280 (s), 101.333 (mi), 2940 (s), 0, 3040
10080 (s), 2280 (s), 101.333 (mi), 2940 (s), 0, 3040
10140 (s), 2280 (s), 101.333 (mi), 2940 (s), 0, 3040
10200 (s), 2280 (s), 101.333 (mi), 2940 (s), 0, 3040
10260 (s), 2280 (s), 101.333 (mi), 2940 (s), 0, 3040
10320 (s), 2280 (s), 101.333 (mi), 2940 (s), 0, 3040
10380 (s), 2280 (s), 101.333 (mi), 2940 (s), 0, 3040
10440 (s), 2280 (s), 101.333 (mi), 2940 (s), 0, 3040
10500 (s), 2280 (s), 101.333 (mi), 2940 (s), 0, 3040
10560 (s), 2280 (s), 101.333 (mi), 2940 (s), 0, 3040
10620 (s), 2280 (s), 101.333 (mi), 2940 (s), 0, 3952
10680 (s), 2280 (s), 101.333 (mi), 2940 (s), 0, 3952
10740 (s), 2280 (s), 101.333 (mi), 2940 (s), 0, 3952
10800 (s), 2280 (s), 101.333 (mi), 2940 (s), 0, 3952
