ECHO eVTOL logging file
SIM TIME (s), Time Per Flight (s), Distance Per Flight (mi), Time Per Charge (s), Total Faults, Total Passenger Miles
60 (s), 0 (s), 0 (mi), 0 (s), 0, 0
120 (s), 0 (s), 0 (mi), 0 (s), 0, 0
180 (s), 0 (s), 0 (mi), 0 (s), 0, 0
240 (s), 0 (s), 0 (mi), 0 (s), 0, 0
300 (s), 0 (s), 0 (mi), 0 (s), 0, 0
360 (s), 0 (s), 0 (mi), 0 (s), 0, 0
420 (s), 0 (s), 0 (mi), 0 (s), 0, 0
480 (s), 0 (s), 0 (mi), 0 (s), 0, 0
540 (s), 0 (s), 0 (mi), 0 (s), 0, 0
600 (s), 0 (s), 0 (mi), 0 (s), 0, 0
660 (s), 0 (s), 0 (mi), 0 (s), 0, 0
720 (s), 0 (s), 0 (mi), 0 (s), 0, 0
780 (s), 0 (s), 0 (mi), 0 (s), 0, 0
840 (s), 0 (s), 0 (mi), 0 (s), 0, 0
900 (s), 0 (s), 0 (mi), 0 (s), 0, 0
960 (s), 0 (s), 0 (mi), 0 (s), 0, 0
1020 (s), 0 (s), 0 (mi), 0 (s), 0, 0
1080 (s), 0 (s), 0 (mi), 0 (s), 0, 0
1140 (s), 0 (s), 0 (mi), 0 (s), 0, 0
1200 (s), 0 (s), 0 (mi), 0 (s), 0, 0
1260 (s), 0 (s), 0 (mi), 0 (s), 0, 0
1320 (s), 0 (s), 0 (mi), 0 (s), 0, 0
1380 (s), 0 (s), 0 (mi), 0 (s), 0, 0
1440 (s), 0 (s), 0 (mi), 0 (s), 0, 0
1500 (s), 0 (s), 0 (mi), 0 (s), 0, 0
1560 (s), 0 (s), 0 (mi), 0 (s), 0, 0
1620 (s), 0 (s), 0 (mi), 0 (s), 0, 0
1680 (s), 0 (s), 0 (mi), 0 (s), 0, 0
1740 (s), 0 (s), 0 (mi), 0 (s), 0, 0
1800 (s), 0 (s), 0 (mi), 0 (s), 0, 0
1860 (s), 0 (s), 0 (mi), 0 (s), 0, 0
1920 (s), 0 (s), 0 (mi), 0 (s), 0, 0
1980 (s), 0 (s), 0 (mi), 0 (s), 0, 0
2040 (s), 0 (s), 0 (mi), 0 (s), 0, 0
2100 (s), 0 (s), 0 (mi), 0 (s), 0, 0
2160 (s), 0 (s), 0 (mi), 0 (s), 0, 0
2220 (s), 0 (s), 0 (mi), 0 (s), 0, 0
2280 (s), 0 (s), 0 (mi), 0 (s), 0, 0
2340 (s), 0 (s), 0 (mi), 0 (s), 0, 0
2400 (s), 0 (s), 0 (mi), 0 (s), 0, 0
2460 (s), 0 (s), 0 (mi), 0 (s), 0, 0
2520 (s), 0 (s), 0 (mi), 0 (s), 0, 0
2580 (s), 0 (s), 0 (mi), 0 (s), 0, 0
2640 (s), 0 (s), 0 (mi), 0 (s), 0, 0
2700 (s), 0 (s), 0 (mi), 0 (s), 0, 0
2760 (s), 0 (s), 0 (mi), 0 (s), 1, 0
2820 (s), 0 (s), 0 (mi), 0 (s), 1, 0
2880 (s), 0 (s), 0 (mi), 0 (s), 1, 0
2940 (s), 0 (s), 0 (mi), 0 (s), 1, 0
3000 (s), 0 (s), 0 (mi), 0 (s), 1, 0
3060 (s), 0 (s), 0 (mi), 0 (s), 1, 0
3120 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
3180 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
3240 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
3300 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
3360 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
3420 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
3480 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
3540 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
3600 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
3660 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
3720 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
3780 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
3840 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
3900 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
3960 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
4020 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
4080 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
4140 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
4200 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
4260 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
4320 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
4380 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
4440 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
4500 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
4560 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
4620 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
4680 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
4740 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
4800 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
4860 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
4920 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
4980 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
5040 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
5100 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
5160 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
5220 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
5280 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
5340 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
5400 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
5460 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
5520 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
5580 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
5640 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
5700 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
5760 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
5820 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
5880 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
5940 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
6000 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
6060 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
6120 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
6180 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
6240 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
6300 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
6360 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
6420 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
6480 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
6540 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
6600 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
6660 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
6720 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
6780 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
6840 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
6900 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
6960 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
7020 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
7080 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
7140 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
7200 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
7260 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
7320 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
7380 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
7440 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
7500 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
7560 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
7620 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
7680 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
7740 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
7800 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
7860 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
7920 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
7980 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
8040 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
8100 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
8160 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
8220 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
8280 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
8340 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
8400 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
8460 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
8520 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
8580 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
8640 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
8700 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
8760 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
8820 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
8880 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
8940 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
9000 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
9060 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
9120 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
9180 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
9240 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
9300 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
9360 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
9420 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
9480 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
9540 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
9600 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
9660 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
9720 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
9780 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
9840 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
9900 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
9960 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
10020 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
10080 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
10140 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
10200 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
10260 (s), 3120 (s), 26 (mi), 0 (s), 1, 156
10320 (s), 3120 (s), 26 (mi), 1140 (s), 1, 156
10380 (s), 3120 (s), 26 (mi), 1140 (s), 1, 156
10440 (s), 3120 (s), 26 (mi), 1140 (s), 1, 156
10500 (s), 3120 (s), 26 (mi), 1140 (s), 1, 156
10560 (s), 3120 (s), 26 (mi), 1140 (s), 1, 156
10620 (s), 3120 (s), 26 (mi), 1140 (s), 1, 156
10680 (s), 3120 (s), 26 (mi), 1140 (s), 1, 156
10740 (s), 3120 (s), 26 (mi), 1140 (s), 1, 156
10800 (s), 3120 (s), 26 (mi), 1140 (s), 1, 156
